,area_code,city,state,nation,coord0,coord1
1982,772,Port Saint Lucie,Florida,US,27.29393,-80.35033
1983,772,Vero Beach South,Florida,US,27.61638,-80.41308
1984,773,West Chicago,Illinois,US,41.88475,-88.20396
1985,774,Attleboro,Massachusetts,US,41.94454,-71.28561
1986,774,Barnstable,Massachusetts,US,41.70011,-70.29947
1987,774,Brockton,Massachusetts,US,42.08343,-71.01838
1988,774,Fall River,Massachusetts,US,41.70149,-71.15505
1989,774,Framingham,Massachusetts,US,42.27926,-71.41617
1990,774,Franklin,Massachusetts,US,42.08343,-71.39673
1991,774,Marlborough,Massachusetts,US,42.34593,-71.55229
1992,774,Milford,Massachusetts,US,42.13982,-71.51617
1993,774,New Bedford,Massachusetts,US,41.63622,-70.93421
1994,774,Taunton,Massachusetts,US,41.9001,-71.08977
1995,774,Worcester,Massachusetts,US,42.26259,-71.80229
1996,775,Carson City,Nevada,US,39.1638,-119.7674
1997,775,Pahrump,Nevada,US,36.20829,-115.98391
1998,775,Reno,Nevada,US,39.52963,-119.8138
1999,775,Sparks,Nevada,US,39.53491,-119.75269
2000,779,Belvidere,Illinois,US,42.26391,-88.84427
2001,779,Crystal Lake,Illinois,US,42.24113,-88.3162
2002,779,DeKalb,Illinois,US,41.92947,-88.75036
2003,779,Freeport,Illinois,US,42.29669,-89.62123
2004,779,Joliet,Illinois,US,41.52519,-88.0834
2005,779,Kankakee,Illinois,US,41.12003,-87.86115
2006,779,Loves Park,Illinois,US,42.32002,-89.05816
2007,779,Machesney Park,Illinois,US,42.34724,-89.039
2008,779,McHenry,Illinois,US,42.33335,-88.26675
2009,779,Rockford,Illinois,US,42.27113,-89.094
2010,779,Romeoville,Illinois,US,41.64753,-88.08951
2011,779,Woodstock,Illinois,US,42.31474,-88.4487
2012,781,Arlington,Massachusetts,US,42.41537,-71.15644
2013,781,Braintree,Massachusetts,US,42.22232,-70.99949
2014,781,Burlington,Massachusetts,US,42.50482,-71.19561
2015,781,Dedham,Massachusetts,US,42.24177,-71.16616
2016,781,Lexington,Massachusetts,US,42.44732,-71.2245
2017,781,Lynn,Massachusetts,US,42.46676,-70.94949
2018,781,Malden,Massachusetts,US,42.4251,-71.06616
2019,781,Marblehead,Massachusetts,US,42.5001,-70.85783
2020,781,Medford,Massachusetts,US,42.41843,-71.10616
2021,781,Melrose,Massachusetts,US,42.45843,-71.06616
2022,781,Needham,Massachusetts,US,42.28343,-71.23283
2023,781,Norwood,Massachusetts,US,42.19454,-71.1995
2024,781,Randolph,Massachusetts,US,42.1626,-71.04116
2025,781,Reading,Massachusetts,US,42.52565,-71.09533
2026,781,Revere,Massachusetts,US,42.40843,-71.01199
2027,781,Saugus,Massachusetts,US,42.46482,-71.01005
2028,781,Stoneham,Massachusetts,US,42.4801,-71.0995
2029,781,Wakefield,Massachusetts,US,42.50648,-71.07283
2030,781,Waltham,Massachusetts,US,42.37649,-71.23561
2031,781,Wellesley,Massachusetts,US,42.29649,-71.29256
2032,781,Weymouth,Massachusetts,US,42.22093,-70.93977
2033,781,Winchester,Massachusetts,US,42.45232,-71.137
2034,781,Woburn,Massachusetts,US,42.47926,-71.15228
2035,785,Hays,Kansas,US,38.87918,-99.32677
2036,785,Lawrence,Kansas,US,38.97167,-95.23525
2037,785,Manhattan,Kansas,US,39.18361,-96.57167
2038,785,Salina,Kansas,US,38.84028,-97.61142
2039,785,Topeka,Kansas,US,39.04833,-95.67804
2040,786,Aventura,Florida,US,25.95648,-80.13921
2041,786,Carol City,Florida,US,25.94065,-80.2456
2042,786,Coral Gables,Florida,US,25.72149,-80.26838
2043,786,Coral Terrace,Florida,US,25.74593,-80.3045
2044,786,Country Club,Florida,US,25.94815,-80.317
2045,786,Cutler Ridge,Florida,US,25.58066,-80.34672
2046,786,Doral,Florida,US,25.81954,-80.35533
2047,786,Golden Glades,Florida,US,25.91176,-80.20033
2048,786,Hialeah,Florida,US,25.8576,-80.27811
2049,786,Homestead,Florida,US,25.46872,-80.47756
2050,786,Kendale Lakes,Florida,US,25.70816,-80.407
2051,786,Kendall West,Florida,US,25.7065,-80.4388
2052,786,Key West,Florida,US,24.55524,-81.78163
2053,786,Leisure City,Florida,US,25.49539,-80.42922
2054,786,West Miami,Florida,US,25.76343,-80.29616
2055,786,North Miami Beach,Florida,US,25.93315,-80.16255
2056,786,Miami Lakes,Florida,US,25.90871,-80.30866
2057,786,Miramar,Florida,US,25.98731,-80.23227
2058,786,Norland,Florida,US,25.94898,-80.21227
2059,786,North Miami,Florida,US,25.89009,-80.18671
2060,786,North Miami Beach,Florida,US,25.93315,-80.16255
2061,786,Richmond West,Florida,US,25.6105,-80.42971
2062,786,Richmond Heights,Florida,US,25.63149,-80.36894
2063,786,South Miami Heights,Florida,US,25.59761,-80.38061
2064,786,Tamiami,Florida,US,25.75871,-80.39839
2065,786,West Little River,Florida,US,25.85704,-80.23699
2066,786,Westchester,Florida,US,25.75482,-80.32727
2067,801,American Fork,Utah,US,40.3769,-111.79576
2068,801,West Bountiful,Utah,US,40.89383,-111.90188
2069,801,Clearfield,Utah,US,41.11078,-112.02605
2070,801,Cottonwood Heights,Utah,US,40.61967,-111.81021
2071,801,Draper,Utah,US,40.52467,-111.86382
2072,801,East Millcreek,Utah,US,40.69995,-111.81049
2073,801,Kaysville,Utah,US,41.03522,-111.93855
2074,801,Kearns,Utah,US,40.65995,-111.99633
2075,801,Layton,Utah,US,41.06022,-111.97105
2076,801,Magna,Utah,US,40.70911,-112.10161
2077,801,Midvale,Utah,US,40.61106,-111.89994
2078,801,Millcreek,Utah,US,40.68689,-111.87549
2079,801,Murray,Utah,US,40.66689,-111.88799
2080,801,South Ogden,Utah,US,41.19189,-111.97133
2081,801,Orem,Utah,US,40.2969,-111.69465
2082,801,Pleasant Grove,Utah,US,40.36412,-111.73854
2083,801,Provo,Utah,US,40.23384,-111.65853
2084,801,Riverton,Utah,US,40.52189,-111.9391
2085,801,Roy,Utah,US,41.16161,-112.02633
2086,801,Salt Lake City,Utah,US,40.76078,-111.89105
2087,801,Sandy City,Utah,US,40.59161,-111.8841
2088,801,South Jordan,Utah,US,40.56217,-111.92966
2089,801,South Salt Lake,Utah,US,40.71884,-111.88827
2090,801,Spanish Fork,Utah,US,40.11496,-111.65492
2091,801,Springville,Utah,US,40.16523,-111.61075
2092,801,Taylorsville,Utah,US,40.66772,-111.93883
2093,801,West Jordan,Utah,US,40.60967,-111.9391
2094,801,West Valley City,Utah,US,40.69161,-112.00105
2095,802,South Burlington,Vermont,US,44.46699,-73.17096
2096,802,Montpelier,Vermont,US,44.26006,-72.57539
2097,803,Aiken,South Carolina,US,33.56042,-81.71955
2098,803,West Columbia,South Carolina,US,33.99349,-81.07398
2099,803,Rock Hill,South Carolina,US,34.92487,-81.02508
2100,803,Saint Andrews,South Carolina,US,34.04543,-81.12926
2101,803,Sumter,South Carolina,US,33.92044,-80.34147
2102,804,Hopewell,Virginia,US,37.30432,-77.2872
2103,804,Mechanicsville,Virginia,US,37.60876,-77.37331
2104,804,Petersburg,Virginia,US,37.22793,-77.40193
2105,804,Richmond,Virginia,US,37.55376,-77.46026
2106,804,Tuckahoe,Virginia,US,37.59015,-77.55638
2107,805,Atascadero,California,US,35.48942,-120.67073
2108,805,Camarillo,California,US,34.21639,-119.0376
2109,805,Paso Robles,California,US,35.62664,-120.691
2110,805,Goleta,California,US,34.43583,-119.82764
2111,805,Lompoc,California,US,34.63915,-120.45794
2112,805,Moorpark,California,US,34.28556,-118.88204
2113,805,Orcutt,California,US,34.86526,-120.436
2114,805,Oxnard,California,US,34.1975,-119.17705
2115,805,Port Hueneme,California,US,34.14778,-119.19511
2116,805,Ventura,California,US,34.27834,-119.29317
2117,805,San Luis Obispo,California,US,35.28275,-120.65962
2118,805,Santa Barbara,California,US,34.42083,-119.69819
2119,805,Santa Maria,California,US,34.95303,-120.43572
2120,805,Santa Paula,California,US,34.35417,-119.05927
2121,805,Simi Valley,California,US,34.26945,-118.78148
2122,805,Thousand Oaks,California,US,34.17056,-118.83759
2123,806,Amarillo,Texas,US,35.222,-101.8313
2124,806,Lubbock,Texas,US,33.57786,-101.85517
2125,806,Plainview,Texas,US,34.18479,-101.70684
2126,808,Hilo,Hawaii,US,19.72991,-155.09073
2127,808,Honolulu,Hawaii,US,21.30694,-157.85833
2128,808,Kahului,Hawaii,US,20.88953,-156.47432
2129,808,Kailua-Kona,Hawaii,US,19.63927,-155.99024
2130,808,Kāne‘ohe,Hawaii,US,21.39994,-157.79895
2131,808,Mililani Town,Hawaii,US,21.45,-158.00111
2132,808,Pearl City,Hawaii,US,21.39734,-157.97516
2133,808,Waimalu,Hawaii,US,21.40472,-157.94333
2134,808,Waipahu,Hawaii,US,21.38667,-158.00917
2135,810,Burton,Michigan,US,42.99947,-83.61634
2136,810,Flint,Michigan,US,43.01253,-83.68746
2137,810,Port Huron,Michigan,US,42.97086,-82.42491
2138,812,Bloomington,Indiana,US,39.16533,-86.52639
2139,812,Clarksville,Indiana,US,38.29674,-85.75996
2140,812,Columbus,Indiana,US,39.20144,-85.92138
2141,812,Evansville,Indiana,US,37.97476,-87.55585
2142,812,Jeffersonville,Indiana,US,38.27757,-85.73718
2143,812,New Albany,Indiana,US,38.28562,-85.82413
2144,812,Terre Haute,Indiana,US,39.4667,-87.41391
