,name,city,state,rating,reviews,city_rank,fee,visit_length,tag
0,Central Park,New York,New York,4.5,92215,1,No,More than 3 hours,Points of Interest & Landmarks
1,The National 9/11 Memorial & Museum,New York,New York,4.5,61712,2,No,1-2 hours,Specialty Museums
2,The Metropolitan Museum of Art,New York,New York,5.0,40443,3,Yes,2-3 hours,Points of Interest & Landmarks
3,Central Park,New York,New York,4.5,92215,1,No,More than 3 hours,Points of Interest & Landmarks
4,The National 9/11 Memorial & Museum,New York,New York,4.5,61712,2,No,1-2 hours,Specialty Museums
5,The Metropolitan Museum of Art,New York,New York,5.0,40443,3,Yes,2-3 hours,Points of Interest & Landmarks
6,Top of the Rock Observation Deck,New York,New York,4.5,57358,4,Yes,Yes,Observation Decks & Towers
7,Manhattan Skyline,New York,New York,5.0,15918,5,No,15 min,Points of Interest & Landmarks
8,Grand Central Terminal,New York,New York,4.5,28478,7,No,1-2 hours,Architectural Buildings
9,The High Line,New York,New York,4.5,42015,8,No,2-3 hours,Scenic Walking Areas
10,Broadway,New York,New York,4.5,22816,9,No,15 min,Points of Interest & Landmarks
11,Frick Collection,New York,New York,4.5,7179,10,No,15 min,Art Museums
12,Empire State Building,New York,New York,4.5,52446,11,Yes,1-2 hours,Architectural Buildings
13,Bryant Park,New York,New York,4.5,15170,14,No,2-3 hours,Nature & Parks
14,Statue of Liberty,New York,New York,4.5,26918,15,Yes,More than 3 hours,Monuments & Statues
15,One World Observatory - World Trade Center,New York,New York,4.5,13948,16,No,1-2 hours,Observation Decks & Towers
16,St. Patrick's Cathedral,New York,New York,4.5,8125,17,No,15 min,Churches & Cathedrals
17,Ground Zero Museum Workshop,New York,New York,5.0,2658,18,No,1-2 hours,Specialty Museums
18,Staten Island Ferry,New York,New York,4.5,14354,19,No,15 min,Ferries
19,Radio City Music Hall,New York,New York,4.5,7025,20,No,2-3 hours,Theaters
20,Rockefeller Center,New York,New York,4.5,16707,21,No,1-2 hours,Points of Interest & Landmarks
21,New York Public Library,New York,New York,4.5,9547,23,No,15 min,Specialty Museums
22,Madison Square Garden,New York,New York,4.5,6500,24,No,15 min,Arenas & Stadiums
23,The Met Cloisters,New York,New York,4.5,4064,25,Yes,More than 3 hours,Sacred & Religious Sites
24,Tenement Museum,New York,New York,4.5,4846,26,No,1-2 hours,Specialty Museums
25,Times Square,New York,New York,4.5,30873,27,No,1-2 hours,Neighborhoods
26,The Museum of Modern Art (MoMA),New York,New York,4.5,12160,29,Yes,2-3 hours,Art Museums
27,Central Park,New York,New York,4.5,92215,1,No,More than 3 hours,Points of Interest & Landmarks
28,The National 9/11 Memorial & Museum,New York,New York,4.5,61713,2,No,1-2 hours,Specialty Museums
29,The Metropolitan Museum of Art,New York,New York,5.0,40443,3,Yes,2-3 hours,Points of Interest & Landmarks
30,Top of the Rock Observation Deck,New York,New York,4.5,57358,4,Yes,Yes,Observation Decks & Towers
31,Manhattan Skyline,New York,New York,5.0,15918,5,No,15 min,Points of Interest & Landmarks
32,Grand Central Terminal,New York,New York,4.5,28479,7,No,1-2 hours,Architectural Buildings
33,The High Line,New York,New York,4.5,42015,8,No,2-3 hours,Scenic Walking Areas
34,Broadway,New York,New York,4.5,22816,9,No,15 min,Points of Interest & Landmarks
35,Frick Collection,New York,New York,4.5,7179,10,No,15 min,Art Museums
36,Empire State Building,New York,New York,4.5,52446,11,Yes,1-2 hours,Architectural Buildings
37,Bryant Park,New York,New York,4.5,15170,14,No,2-3 hours,Nature & Parks
38,Statue of Liberty,New York,New York,4.5,26918,15,Yes,More than 3 hours,Monuments & Statues
39,One World Observatory - World Trade Center,New York,New York,4.5,13948,16,No,1-2 hours,Observation Decks & Towers
40,St. Patrick's Cathedral,New York,New York,4.5,8125,17,No,15 min,Churches & Cathedrals
41,Ground Zero Museum Workshop,New York,New York,5.0,2658,18,No,1-2 hours,Specialty Museums
42,Staten Island Ferry,New York,New York,4.5,14354,19,No,15 min,Ferries
43,Radio City Music Hall,New York,New York,4.5,7025,20,No,2-3 hours,Theaters
44,Rockefeller Center,New York,New York,4.5,16707,21,No,1-2 hours,Points of Interest & Landmarks
45,New York Public Library,New York,New York,4.5,9547,23,No,15 min,Specialty Museums
46,Madison Square Garden,New York,New York,4.5,6500,24,No,15 min,Arenas & Stadiums
47,The Met Cloisters,New York,New York,4.5,4064,25,Yes,More than 3 hours,Sacred & Religious Sites
48,Tenement Museum,New York,New York,4.5,4846,26,No,1-2 hours,Specialty Museums
49,Times Square,New York,New York,4.5,30873,27,No,1-2 hours,Neighborhoods
50,The Museum of Modern Art (MoMA),New York,New York,4.5,12160,29,Yes,2-3 hours,Art Museums
51,The Getty Center,Los Angeles,California,5.0,10328,1,Yes,2-3 hours,Specialty Museums
52,Universal Studios Hollywood,Los Angeles,California,4.5,24681,2,No,15 min,Theme Parks
53,Griffith Observatory,Los Angeles,California,4.5,12585,3,No,More than 3 hours,Observation Decks & Towers
54,California Science Center,Los Angeles,California,4.5,2864,5,No,2-3 hours,Science Museums
55,The Nethercutt Collection,Los Angeles,California,5.0,590,6,No,2-3 hours,Specialty Museums
56,Griffith Park,Los Angeles,California,4.5,2379,7,No,1-2 hours,Nature & Parks
57,Staples Center,Los Angeles,California,4.5,2608,8,No,15 min,Arenas & Stadiums
58,Petersen Automotive Museum,Los Angeles,California,4.5,1210,9,Yes,1-2 hours,Specialty Museums
59,Los Angeles County Museum of Art,Los Angeles,California,4.5,2042,10,Yes,2-3 hours,Art Museums
60,Santa Monica Bay,Los Angeles,California,4.5,3733,11,No,15 min,Beaches
61,Natural History Museum of Los Angeles County,Los Angeles,California,4.5,970,12,Yes,More than 3 hours,Natural History Museums
62,Battleship USS Iowa BB-61,Los Angeles,California,4.5,911,14,No,15 min,Military Museums
63,The Broad,Los Angeles,California,4.5,689,15,No,1-2 hours,Art Museums
64,La Brea Tar Pits and Museum,Los Angeles,California,4.5,2093,16,Yes,1-2 hours,Historic Sites
65,The Wizarding World of Harry Potter,Los Angeles,California,4.5,382,17,No,1-2 hours,Theme Parks
66,The Grove,Los Angeles,California,4.5,1648,18,No,15 min,Shopping Malls
67,Runyon Canyon Park,Los Angeles,California,4.5,832,19,No,15 min,Canyons
68,Venice Canals Walkway,Los Angeles,California,4.5,1248,21,No,<1 hour,Historic Walking Areas
69,Hollywood Bowl Museum,Los Angeles,California,4.5,1149,22,No,2-3 hours,Specialty Museums
70,Dodger Stadium,Los Angeles,California,4.5,1395,23,No,2-3 hours,Arenas & Stadiums
71,Madame Tussauds Hollywood,Los Angeles,California,4.0,2432,24,No,1-2 hours,Specialty Museums
72,"University of California, Los Angeles (UCLA)",Los Angeles,California,4.5,446,25,No,15 min,Educational sites
73,Union Station,Los Angeles,California,4.5,1128,26,No,15 min,Mass Transportation Systems
74,Bradbury Building,Los Angeles,California,4.5,384,27,No,15 min,Architectural Buildings
75,The Grammy Museum,Los Angeles,California,4.5,645,28,No,15 min,Specialty Museums
76,Autry Museum of the American West,Los Angeles,California,4.5,435,29,Yes,1-2 hours,History Museums
77,Hollywood Sign,Los Angeles,California,4.0,4898,30,No,15 min,Points of Interest & Landmarks
78,The Art Institute of Chicago,Chicago,Illinois,5.0,16965,1,Yes,2-3 hours,Art Museums
79,Millennium Park,Chicago,Illinois,4.5,16614,2,No,<1 hour,Historic Walking Areas
80,Cloud Gate,Chicago,Illinois,4.5,11693,3,No,15 min,Monuments & Statues
81,Wrigley Field,Chicago,Illinois,4.5,7064,4,No,More than 3 hours,Arenas & Stadiums
82,Museum of Science and Industry,Chicago,Illinois,4.5,7408,6,Yes,More than 3 hours,Science Museums
83,The Magnificent Mile,Chicago,Illinois,4.5,11498,7,No,More than 3 hours,Neighborhoods
84,360 Chicago Observation Deck,Chicago,Illinois,4.5,6938,8,No,15 min,Architectural Buildings
85,The Field Museum,Chicago,Illinois,4.5,6107,9,Yes,More than 3 hours,Specialty Museums
86,Lakefront Trail,Chicago,Illinois,4.5,1602,11,No,15 min,Biking Trails
87,Skydeck Chicago - Willis Tower,Chicago,Illinois,4.5,11308,12,Yes,1-2 hours,Architectural Buildings
88,Richard H. Driehaus Museum,Chicago,Illinois,4.5,992,13,Yes,1-2 hours,Specialty Museums
89,Symphony Center - Chicago Symphony Orchestra,Chicago,Illinois,5.0,596,14,No,15 min,Symphonies
90,Chicago Cultural Center,Chicago,Illinois,4.5,2193,15,No,1-2 hours,Art Galleries
91,Maggie Daley Park,Chicago,Illinois,4.5,796,16,No,15 min,Nature & Parks
92,Lincoln Park Zoo,Chicago,Illinois,4.5,4063,17,No,2-3 hours,Zoos & Aquariums
93,Chicago Riverwalk,Chicago,Illinois,4.5,1427,19,No,15 min,Historic Walking Areas
94,Holy Name Cathedral,Chicago,Illinois,4.5,839,20,No,15 min,Architectural Buildings
95,Chicago River,Chicago,Illinois,4.5,777,21,No,1-2 hours,Bodies of Water
96,Buckingham Fountain,Chicago,Illinois,4.5,2266,22,No,15 min,Fountains
97,The Chicago Theatre,Chicago,Illinois,4.5,605,23,Yes,2-3 hours,Theaters
98,Garfield Park Conservatory,Chicago,Illinois,4.5,502,25,No,1-2 hours,Historic Sites
99,Crown Fountain,Chicago,Illinois,4.5,1432,26,No,15 min,Fountains
100,Oriental Institute Museum,Chicago,Illinois,4.5,441,27,No,15 min,Specialty Museums
101,Robie House,Chicago,Illinois,4.5,505,28,No,15 min,Architectural Buildings
102,Shedd Aquarium,Chicago,Illinois,4.0,6706,29,No,15 min,Nature & Parks
103,Lincoln Park Conservatory,Chicago,Illinois,4.5,501,30,No,15 min,Gardens
104,The Houston Museum of Natural Science,Houston,Texas,4.5,3411,1,Yes,More than 3 hours,Specialty Museums
105,"Museum of Fine Arts, Houston",Houston,Texas,4.5,1871,2,Yes,More than 3 hours,Art Museums
106,Houston Zoo,Houston,Texas,4.5,2851,3,Yes,More than 3 hours,Nature & Parks
107,Space Center Houston,Houston,Texas,4.0,5755,4,Yes,More than 3 hours,Specialty Museums
108,Children's Museum of Houston,Houston,Texas,4.5,1277,5,Yes,More than 3 hours,Children's Museums
109,Minute Maid Park,Houston,Texas,4.5,2003,6,No,15 min,Arenas & Stadiums
110,Houston Museum District,Houston,Texas,4.5,581,7,No,15 min,Specialty Museums
111,Cockrell Butterfly Center,Houston,Texas,4.5,488,8,Yes,1-2 hours,Science Museums
112,The Menil Collection,Houston,Texas,4.5,674,9,No,More than 3 hours,Specialty Museums
113,The Galleria,Houston,Texas,4.5,3542,10,No,2-3 hours,Ballets
114,Rice University Campus,Houston,Texas,4.5,368,11,No,15 min,Educational sites
115,Holocaust Museum Houston,Houston,Texas,4.5,656,12,No,2-3 hours,History Museums
116,Rodeo Houston or Houston Livestock Show and Rodeo,Houston,Texas,4.5,231,13,No,15 min,Arenas & Stadiums
117,The Music Box Theater,Houston,Texas,5.0,191,14,No,15 min,Theaters
118,National Museum of Funeral History,Houston,Texas,4.5,358,16,Yes,2-3 hours,History Museums
119,Water Wall,Houston,Texas,4.5,888,17,No,<1 hour,Waterfalls
120,Discovery Green,Houston,Texas,4.5,574,18,No,2-3 hours,Playgrounds
121,NRG Stadium,Houston,Texas,4.5,591,19,No,15 min,Arenas & Stadiums
122,Toyota Center,Houston,Texas,4.5,580,20,No,15 min,Arenas & Stadiums
123,Bayou Bend Collection and Gardens,Houston,Texas,4.5,341,21,No,15 min,Historic Sites
124,Buffalo Bayou Park,Houston,Texas,4.5,178,22,No,15 min,Nature & Parks
125,Alley Theatre,Houston,Texas,4.5,217,23,No,15 min,Theaters
126,Hobby Center for the Performing Arts,Houston,Texas,4.5,265,24,No,15 min,Theaters
127,Glenwood Cemetery,Houston,Texas,5.0,96,25,No,15 min,Cemeteries
128,Downtown Aquarium,Houston,Texas,3.5,1672,26,Yes,More than 3 hours,Nature & Parks
129,Karbach Brewing,Houston,Texas,4.5,149,27,No,15 min,Breweries
130,Houston Symphony,Houston,Texas,5.0,169,28,No,15 min,Symphonies
131,McGovern Centennial Gardens,Houston,Texas,4.5,75,29,No,1-2 hours,Gardens
132,Miller Outdoor Theatre,Houston,Texas,4.5,309,30,No,2-3 hours,Theaters
133,Philadelphia Museum of Art,Philadelphia,Pennsylvania,4.5,5087,1,Yes,1-2 hours,Art Museums
134,The Barnes Foundation,Philadelphia,Pennsylvania,4.5,3728,2,No,More than 3 hours,Art Museums
135,Eastern State Penitentiary,Philadelphia,Pennsylvania,4.5,4209,3,Yes,1-2 hours,History Museums
136,Independence Hall,Philadelphia,Pennsylvania,4.5,6249,4,No,<1 hour,Architectural Buildings
137,Reading Terminal Market,Philadelphia,Pennsylvania,4.5,2730,5,No,1-2 hours,Flea & Street Markets
138,Independence National Historical Park,Philadelphia,Pennsylvania,4.5,1907,7,No,15 min,Historic Sites
139,Citizens Bank Park,Philadelphia,Pennsylvania,4.5,1783,8,No,15 min,Arenas & Stadiums
140,Cathedral Basilica of Saints Peter and Paul,Philadelphia,Pennsylvania,4.5,655,9,No,<1 hour,Sacred & Religious Sites
141,National Museum of American Jewish History,Philadelphia,Pennsylvania,4.5,830,10,No,15 min,History Museums
142,Please Touch Museum,Philadelphia,Pennsylvania,4.5,1066,11,Yes,1-2 hours,Specialty Museums
143,Wanamaker Organ,Philadelphia,Pennsylvania,4.5,496,12,No,15 min,Points of Interest & Landmarks
144,Independence Visitor Center,Philadelphia,Pennsylvania,4.5,1795,13,No,<1 hour,Visitor Centers
145,Rodin Museum,Philadelphia,Pennsylvania,4.5,1007,14,No,15 min,Art Museums
146,Christ Church,Philadelphia,Pennsylvania,4.5,725,15,No,<1 hour,Cemeteries
147,The Franklin Institute,Philadelphia,Pennsylvania,4.5,2115,16,Yes,2-3 hours,Science Museums
148,Liberty Bell Center,Philadelphia,Pennsylvania,4.5,2995,17,No,<1 hour,Historic Sites
149,Philadelphia's Magic Gardens,Philadelphia,Pennsylvania,4.5,703,18,Yes,<1 hour,Art Galleries
150,Philadelphia Zoo,Philadelphia,Pennsylvania,4.5,1321,19,Yes,2-3 hours,Nature & Parks
151,City Hall,Philadelphia,Pennsylvania,4.5,864,20,No,15 min,Architectural Buildings
152,National Constitution Center,Philadelphia,Pennsylvania,4.5,1130,21,Yes,1-2 hours,History Museums
153,Masonic Temple,Philadelphia,Pennsylvania,4.5,419,22,No,15 min,Sacred & Religious Sites
154,University of Pennsylvania,Philadelphia,Pennsylvania,4.5,444,23,No,15 min,Universities & Schools
155,Independence Mall,Philadelphia,Pennsylvania,4.5,303,24,No,15 min,Historic Walking Areas
156,Rittenhouse Square,Philadelphia,Pennsylvania,4.5,529,25,No,15 min,Points of Interest & Landmarks
157,One Liberty Observation Deck,Philadelphia,Pennsylvania,4.5,361,26,No,<1 hour,Observation Decks & Towers
158,Pennsylvania Academy of the Fine Arts,Philadelphia,Pennsylvania,4.5,293,27,No,2-3 hours,Art Museums
159,Mutter Museum,Philadelphia,Pennsylvania,4.0,1240,28,Yes,1-2 hours,Science Museums
160,Morris Arboretum,Philadelphia,Pennsylvania,4.5,338,29,No,15 min,Gardens
161,Rocky Statue,Philadelphia,Pennsylvania,4.0,1826,30,No,<1 hour,Monuments & Statues
162,Musical Instrument Museum,Phoenix,Arizona,5.0,4000,1,No,More than 3 hours,Specialty Museums
163,Desert Botanical Garden,Phoenix,Arizona,4.5,5831,2,No,2-3 hours,Gardens
164,Heard Museum,Phoenix,Arizona,4.5,1897,3,No,15 min,Art Museums
165,Camelback Mountain,Phoenix,Arizona,4.5,1682,4,No,15 min,Mountains
166,Children's Museum of Phoenix,Phoenix,Arizona,4.5,518,6,No,15 min,Children's Museums
167,South Mountain Park,Phoenix,Arizona,4.5,906,7,No,15 min,Nature & Parks
168,Chase Field,Phoenix,Arizona,4.5,1594,8,No,15 min,Arenas & Stadiums
169,Phoenix Art Museum,Phoenix,Arizona,4.5,715,9,No,15 min,Art Museums
170,Piestewa Peak,Phoenix,Arizona,4.5,504,10,No,15 min,Mountains
171,Phoenix Zoo,Phoenix,Arizona,4.5,2105,11,No,15 min,Zoos & Aquariums
172,Papago Park,Phoenix,Arizona,4.5,541,12,No,15 min,Nature & Parks
173,Hole in the Rock,Phoenix,Arizona,4.5,552,14,No,15 min,Geologic Formations
174,Echo Canyon Trail and Recreation Area,Phoenix,Arizona,4.5,181,16,No,15 min,Nature & Wildlife Areas
175,Arizona Science Center,Phoenix,Arizona,4.5,652,17,No,More than 3 hours,Science Museums
176,Burton Barr Central Library,Phoenix,Arizona,4.5,170,19,No,15 min,Libraries
177,Wrigley Mansion,Phoenix,Arizona,4.5,291,20,No,15 min,Historic Sites
178,Hall of Flame Museum of Firefighting,Phoenix,Arizona,4.5,259,21,No,15 min,Specialty Museums
179,Phoenix Mountain Preserve,Phoenix,Arizona,4.5,167,23,No,15 min,Nature & Wildlife Areas
180,Wells Fargo History Museum,Phoenix,Arizona,4.5,168,24,No,15 min,History Museums
181,St. Mary's Basilica,Phoenix,Arizona,4.5,192,25,No,15 min,Sacred & Religious Sites
182,The Rosson House Museum,Phoenix,Arizona,4.5,122,26,No,1-2 hours,Historic Sites
183,Orpheum Theater,Phoenix,Arizona,4.5,177,27,No,15 min,Historic Sites
184,Talking Sticks Resort Arena,Phoenix,Arizona,4.0,266,29,No,15 min,Arenas & Stadiums
185,Arizona Capitol Museum,Phoenix,Arizona,4.5,119,30,No,15 min,Specialty Museums
186,River Walk,San Antonio,Texas,4.5,17377,1,No,15 min,Hiking Trails
187,The Alamo,San Antonio,Texas,4.5,12133,2,No,2-3 hours,Historic Sites
188,Mission San Jose,San Antonio,Texas,4.5,2302,3,No,1-2 hours,Historic Sites
189,San Antonio River,San Antonio,Texas,4.5,2612,4,No,15 min,Bodies of Water
190,San Antonio Missions National Historical Park,San Antonio,Texas,4.5,1361,5,No,15 min,Hiking Trails
191,San Fernando De Bexar Cathedral,San Antonio,Texas,4.5,1264,6,No,15 min,Churches & Cathedrals
192,Majestic Theatre,San Antonio,Texas,4.5,1046,7,No,15 min,Theaters
193,Natural Bridge Caverns,San Antonio,Texas,4.5,2632,8,Yes,More than 3 hours,Caverns & Caves
194,McNay Art Museum,San Antonio,Texas,4.5,660,9,Yes,1-2 hours,Art Museums
195,Mission Trail,San Antonio,Texas,4.5,577,10,No,More than 3 hours,Historic Walking Areas
196,San Antonio Botanical Garden,San Antonio,Texas,4.5,777,11,No,15 min,Gardens
197,St Joseph Catholic Church,San Antonio,Texas,4.5,286,12,No,15 min,Churches & Cathedrals
198,Japanese Tea Gardens,San Antonio,Texas,4.5,1130,13,No,1-2 hours,Gardens
199,Mission Concepcion,San Antonio,Texas,4.5,684,14,No,15 min,Missions
200,Briscoe Western Art Museum,San Antonio,Texas,4.5,440,15,No,15 min,Specialty Museums
201,Lackland Air Force Base,San Antonio,Texas,4.5,380,16,No,15 min,Military Bases & Facilities
202,Alamo Plaza,San Antonio,Texas,4.5,709,17,No,15 min,Points of Interest & Landmarks
203,San Antonio Museum of Art,San Antonio,Texas,4.5,600,18,Yes,2-3 hours,Art Museums
204,King William Historic District,San Antonio,Texas,4.5,473,19,No,2-3 hours,Historic Walking Areas
205,Main Plaza,San Antonio,Texas,4.5,272,20,No,15 min,Points of Interest & Landmarks
206,Mission Espada,San Antonio,Texas,4.5,306,21,No,15 min,Missions
207,Battle For Texas: The Experience,San Antonio,Texas,4.5,311,22,No,1-2 hours,History Museums
208,Institute of Texan Cultures,San Antonio,Texas,4.5,333,23,No,15 min,History Museums
209,Natural Bridge Wildlife Ranch,San Antonio,Texas,4.5,987,24,No,15 min,Zoos & Aquariums
210,SeaWorld San Antonio,San Antonio,Texas,4.0,3301,25,No,15 min,Theme Parks
211,San Antonio Zoo,San Antonio,Texas,4.0,1240,26,Yes,2-3 hours,Nature & Parks
212,The DoSeum - San Antonio's Museum for Kids,San Antonio,Texas,4.5,404,27,Yes,2-3 hours,Children's Museums
213,AT&T Center,San Antonio,Texas,4.5,364,28,No,2-3 hours,Arenas & Stadiums
214,Guenther House,San Antonio,Texas,4.5,340,29,No,15 min,Historic Sites
215,Six Flags Fiesta Texas,San Antonio,Texas,4.0,2121,30,No,15 min,Theme Parks
216,USS Midway Museum,San Diego,California,4.5,16854,1,Yes,More than 3 hours,Specialty Museums
217,San Diego Zoo,San Diego,California,4.5,19490,2,Yes,Yes,Outdoor Activities
218,Balboa Park,San Diego,California,4.5,8378,3,No,More than 3 hours,Playgrounds
219,La Jolla Cove,San Diego,California,4.5,7962,1,No,More than 3 hours,Beaches
220,Torrey Pines State Natural Reserve,San Diego,California,4.5,2673,5,No,More than 3 hours,Hiking Trails
221,Petco Park,San Diego,California,4.5,3098,6,No,15 min,Arenas & Stadiums
222,Cabrillo National Monument,San Diego,California,4.5,3373,8,Yes,2-3 hours,Monuments & Statues
223,Sunset Cliffs Natural Park,San Diego,California,4.5,1475,9,No,15 min,Nature & Parks
224,Fort Rosecrans Cemetery,San Diego,California,4.5,1088,10,No,15 min,Cemeteries
225,Mount Soledad,San Diego,California,4.5,1662,2,No,15 min,Historic Sites
226,Point Loma,San Diego,California,4.5,1486,12,No,More than 3 hours,Historic Walking Areas
227,La Jolla Shores Park,San Diego,California,4.5,2155,3,No,More than 3 hours,Beaches
228,Coronado Bridge,San Diego,California,4.5,4098,14,No,15 min,Bridges
229,SeaWorld San Diego,San Diego,California,4.5,7579,15,Yes,More than 3 hours,Theme Parks
230,Torrey Pines Gliderport,San Diego,California,4.5,1030,4,No,15 min,Educational sites
231,Maritime Museum of San Diego,San Diego,California,4.5,1241,17,No,15 min,Ships
232,Mormon Battalion Historic Site,San Diego,California,4.5,770,18,No,15 min,Historic Sites
233,Windansea Beach,San Diego,California,4.5,415,5,No,15 min,Beaches
234,Old Point Loma Lighthouse,San Diego,California,4.5,1166,20,No,15 min,Lighthouses
235,San Diego Bay Walk,San Diego,California,4.5,627,21,No,15 min,Historic Walking Areas
236,Pacific Beach,San Diego,California,4.5,829,22,No,15 min,Beaches
237,Old Town San Diego State Historic Park,San Diego,California,4.5,3795,23,No,2-3 hours,Historic Walking Areas
238,Torrey Pines State Natural Reserve,San Diego,California,5.0,139,6,No,1-2 hours,Nature & Wildlife Areas
239,Mission Beach,San Diego,California,4.5,1541,25,No,15 min,Beaches
240,Botanical Building and Lily Pond,San Diego,California,4.5,815,26,No,15 min,Gardens
241,Mission Bay Park,San Diego,California,4.5,397,27,No,More than 3 hours,Beaches
242,Coronado Ferry,San Diego,California,4.5,500,28,No,<1 hour,Ferries
243,Seaport Village,San Diego,California,4.0,2894,29,No,More than 3 hours,Piers & Boardwalks
244,San Diego Convention Center,San Diego,California,4.5,529,30,No,15 min,Conference & Convention Centers
245,Dallas Arboretum & Botanical Gardens,Dallas,Texas,4.5,3957,1,Yes,More than 3 hours,Gardens
246,The Sixth Floor Museum/Texas School Book Depository,Dallas,Texas,4.5,6253,2,Yes,2-3 hours,Specialty Museums
247,Morton H. Meyerson Symphony Center,Dallas,Texas,5.0,546,3,No,15 min,Architectural Buildings
248,The George W. Bush Presidential Library and Museum,Dallas,Texas,4.5,2489,4,No,1-2 hours,Specialty Museums
249,Perot Museum of Nature and Science,Dallas,Texas,4.5,2467,5,No,15 min,Specialty Museums
250,Klyde Warren Park,Dallas,Texas,4.5,1397,6,No,15 min,Nature & Parks
251,Dallas Museum of Art,Dallas,Texas,4.5,1412,7,No,2-3 hours,Art Museums
252,Dallas World Aquarium,Dallas,Texas,4.5,3424,8,Yes,More than 3 hours,Nature & Parks
253,Dealey Plaza National Historic Landmark District,Dallas,Texas,4.5,1636,9,No,15 min,Historic Sites
254,Dallas Cattle Drive Sculptures,Dallas,Texas,4.5,561,10,No,15 min,Points of Interest & Landmarks
255,White Rock Lake Park,Dallas,Texas,4.5,493,11,No,More than 3 hours,Bodies of Water
256,Reunion Tower,Dallas,Texas,4.5,1551,12,No,15 min,Observation Decks & Towers
257,American Airlines Center,Dallas,Texas,4.5,958,13,No,15 min,Arenas & Stadiums
258,Pioneer Plaza,Dallas,Texas,4.5,485,14,No,15 min,Points of Interest & Landmarks
259,Bishop Arts District,Dallas,Texas,4.5,578,15,No,15 min,Neighborhoods
260,Dallas Zoo,Dallas,Texas,4.5,1272,16,Yes,More than 3 hours,Zoos & Aquariums
261,Nasher Sculpture Center,Dallas,Texas,4.5,697,18,Yes,1-2 hours,Art Museums
262,Highland Park Village,Dallas,Texas,4.5,333,19,No,2-3 hours,Neighborhoods
263,NorthPark Center,Dallas,Texas,4.5,290,20,No,15 min,Shopping Malls
264,Katy Trail,Dallas,Texas,4.5,204,21,No,15 min,Hiking Trails
265,Dallas Holocaust Museum,Dallas,Texas,4.5,330,22,Yes,2-3 hours,Specialty Museums
266,Deep Ellum (Deep Elm),Dallas,Texas,4.0,250,23,No,More than 3 hours,Neighborhoods
267,John F. Kennedy Memorial Plaza,Dallas,Texas,4.0,630,24,No,<1 hour,Monuments & Statues
268,Old Red Museum,Dallas,Texas,4.0,313,25,Yes,2-3 hours,Historic Sites
269,Southern Methodist University,Dallas,Texas,4.5,274,26,No,15 min,Educational sites
270,Frontiers of Flight Museum,Dallas,Texas,4.5,262,27,Yes,1-2 hours,Specialty Museums
271,Winspear Opera House,Dallas,Texas,4.5,217,30,No,15 min,Theaters
272,Municipal Rose Garden,San Jose,California,4.5,330,1,No,15 min,Gardens
273,Rosicrucian Egyptian Museum,San Jose,California,4.5,567,2,No,15 min,History Museums
274,The Tech Museum of Innovation,San Jose,California,4.0,685,3,No,15 min,Specialty Museums
275,Winchester Mystery House,San Jose,California,4.0,1923,4,No,15 min,Historic Sites
276,SAP Center,San Jose,California,4.0,462,5,No,2-3 hours,Arenas & Stadiums
277,Cathedral Basilica of St. Joseph,San Jose,California,4.5,195,6,No,15 min,Churches & Cathedrals
278,Children's Discovery Museum,San Jose,California,4.5,338,7,No,15 min,Children's Museums
279,Happy Hollow Park and Zoo,San Jose,California,4.5,371,8,No,15 min,Zoos & Aquariums
280,Japanese Friendship Garden,San Jose,California,4.5,140,9,No,15 min,Gardens
281,Los Gatos Creek Trail,San Jose,California,4.5,136,10,No,15 min,Hiking Trails
282,Willow Glen,San Jose,California,4.5,109,11,No,2-3 hours,Neighborhoods
283,Almaden Quicksilver County Park,San Jose,California,4.5,118,12,No,15 min,Points of Interest & Landmarks
284,Alum Rock Park,San Jose,California,4.5,106,13,No,15 min,Nature & Parks
285,J. Lohr Vineyards & Wines,San Jose,California,4.5,75,14,No,15 min,Wineries & Vineyards
286,"Municipal Stadium, San Jose Giants",San Jose,California,4.5,65,15,No,More than 3 hours,Arenas & Stadiums
287,California Theatre,San Jose,California,5.0,72,16,No,15 min,Theaters
288,San Pedro Square Market,San Jose,California,4.0,99,17,No,15 min,Flea & Street Markets
289,San Jose Museum of Art,San Jose,California,4.0,131,18,No,15 min,Art Museums
290,Heritage Rose Garden,San Jose,California,4.5,69,19,No,15 min,Gardens
291,Avaya Stadium,San Jose,California,4.5,50,20,No,2-3 hours,Arenas & Stadiums
292,Sikh Gurudwara Sahib,San Jose,California,5.0,32,21,No,1-2 hours,Points of Interest & Landmarks
293,San Jose McEnry Convention Center,San Jose,California,4.0,59,22,No,15 min,Conference & Convention Centers
294,Japantown (San Jose),San Jose,California,4.0,88,23,No,15 min,Neighborhoods
295,History Park,San Jose,California,4.0,62,24,No,15 min,Historic Sites
296,Plaza de Cesar Chavez Park,San Jose,California,4.0,54,25,No,15 min,Nature & Parks
297,New Almaden Mercury Mining Museum,San Jose,California,4.5,27,26,No,15 min,History Museums
298,San Jose Museum of Quilts & Textiles,San Jose,California,4.0,58,27,No,15 min,Specialty Museums
299,Japanese American Resource Center/Museum,San Jose,California,5.0,24,29,No,15 min,Specialty Museums
300,Rotary Playgarden,San Jose,California,4.5,18,30,No,1-2 hours,Gardens
