,google_time_spent_txt,type,name,city,state,coord0,coord1,poi_rank,img_url
0,,Feature,Times Square,New York,New York,-73.9859117188,40.7573123145,1,http://mw2.google.com/mw-panoramio/photos/small/63196174.jpg
1,1.5 hours,Feature,Empire State Building,New York,New York,-73.9854814636,40.7484308521,2,http://mw2.google.com/mw-panoramio/photos/small/80834856.jpg
2,,Feature,Grand Central Terminal,New York,New York,-73.9773730029,40.7526327658,3,http://mw2.google.com/mw-panoramio/photos/small/36205029.jpg
3,,Feature,Flatiron Building,New York,New York,-73.9894269779,40.7415214166,4,http://mw2.google.com/mw-panoramio/photos/small/50219879.jpg
4,,Feature,Rockefeller Center,New York,New York,-73.9785869037,40.7587364814,5,http://mw2.google.com/mw-panoramio/photos/small/63093959.jpg
5,,Feature,Times Square,New York,New York,-73.9859117188,40.7573123145,1,http://mw2.google.com/mw-panoramio/photos/small/63196174.jpg
6,1.5 hours,Feature,Empire State Building,New York,New York,-73.9854814636,40.7484308521,2,http://mw2.google.com/mw-panoramio/photos/small/80834856.jpg
7,,Feature,Grand Central Terminal,New York,New York,-73.9773730029,40.7526327658,3,http://mw2.google.com/mw-panoramio/photos/small/36205029.jpg
8,,Feature,Flatiron Building,New York,New York,-73.9894269779,40.7415214166,4,http://mw2.google.com/mw-panoramio/photos/small/50219879.jpg
9,,Feature,Rockefeller Center,New York,New York,-73.9785869037,40.7587364814,5,http://mw2.google.com/mw-panoramio/photos/small/63093959.jpg
10,,Feature,Brooklyn Bridge,New York,New York,-73.997652629,40.7067059117,6,http://mw2.google.com/mw-panoramio/photos/small/28052719.jpg
11,,Feature,Statue of Liberty,New York,New York,-74.0443545137,40.689153987,7,http://mw2.google.com/mw-panoramio/photos/small/11285606.jpg
12,,Feature,Guggenheim,New York,New York,-73.9591327217,40.7830054223,8,http://mw2.google.com/mw-panoramio/photos/small/79504460.jpg
13,,Feature,Chrysler Building,New York,New York,-73.9756222272,40.7515976294,9,http://mw2.google.com/mw-panoramio/photos/small/21265461.jpg
14,3 hours,Feature,Metropolitan Museum of Art,New York,New York,-73.9628814559,40.7791142446,10,http://mw2.google.com/mw-panoramio/photos/small/57496602.jpg
15,,Feature,One World Trade Center,New York,New York,-74.0120457455,40.7117148437,11,http://mw2.google.com/mw-panoramio/photos/small/80782639.jpg
16,2.5 hours,Feature,MoMA,New York,New York,-73.9771649007,40.7612933576,12,http://mw2.google.com/mw-panoramio/photos/small/53330383.jpg
17,,Feature,St. Patrick's Cathedral,New York,New York,-73.9766164871,40.758685326,13,http://mw2.google.com/mw-panoramio/photos/small/102257623.jpg
18,45 min,Feature,Washington Square Park,New York,New York,-73.9973560794,40.7310104125,14,http://mw2.google.com/mw-panoramio/photos/small/1448308.jpg
19,45 min,Feature,Top of the Rock,New York,New York,-73.9793881513,40.7590568977,15,http://mw2.google.com/mw-panoramio/photos/small/77162964.jpg
20,1 hour,Feature,Bryant Park,New York,New York,-73.9837453551,40.7539265648,16,http://mw2.google.com/mw-panoramio/photos/small/77388824.jpg
21,,Feature,Battery Park,New York,New York,-74.016362343,40.703163571,17,http://mw2.google.com/mw-panoramio/photos/small/41614707.jpg
22,45 min,Feature,High Line,New York,New York,-74.0061708484,40.7456389064,18,http://mw2.google.com/mw-panoramio/photos/small/88902282.jpg
23,,Feature,Wall Street,New York,New York,-74.0104165676,40.7069036189,19,http://mw2.google.com/mw-panoramio/photos/small/70779726.jpg
24,,Feature,South Street Seaport,New York,New York,-74.0023453109,40.7055636809,20,http://mw2.google.com/mw-panoramio/photos/small/33407701.jpg
25,,Feature,Manhattan Bridge,New York,New York,-73.9900777721,40.7039721463,21,http://mw2.google.com/mw-panoramio/photos/small/82120201.jpg
26,,Feature,Santa Monica,Los Angeles,California,-118.497412761,34.0105270186,1,http://mw2.google.com/mw-panoramio/photos/small/27181135.jpg
27,1 hour,Feature,Griffith Observatory,Los Angeles,California,-118.300419087,34.1184883368,2,http://mw2.google.com/mw-panoramio/photos/small/64740354.jpg
28,,Feature,Walt Disney Concert Hall,Los Angeles,California,-118.249473464,34.0553886479,3,http://mw2.google.com/mw-panoramio/photos/small/94115999.jpg
29,,Feature,Hollywood,Los Angeles,California,-118.339957032,34.1018401979,4,http://mw2.google.com/mw-panoramio/photos/small/12765328.jpg
30,,Feature,Venice Beach,Los Angeles,California,-118.474393128,33.9871308654,5,http://mw2.google.com/mw-panoramio/photos/small/7711289.jpg
31,15 min to 1.5 hr,Feature,Santa Monica Pier,Los Angeles,California,-118.498735682,34.008184359,6,http://mw2.google.com/mw-panoramio/photos/small/49133338.jpg
32,,Feature,Getty Museum,Los Angeles,California,-118.474364807,34.0771626952,7,http://mw2.google.com/mw-panoramio/photos/small/66017231.jpg
33,,Feature,Grauman's Chinese Theatre,Los Angeles,California,-118.340956931,34.1017094383,8,http://mw2.google.com/mw-panoramio/photos/small/99532938.jpg
34,3 hours,Feature,Getty Center,Los Angeles,California,-118.47456332,34.0770966421,9,http://mw2.google.com/mw-panoramio/photos/small/46953231.jpg
35,,Feature,Beverly Hills,Los Angeles,California,-118.402202774,34.0703171459,10,http://mw2.google.com/mw-panoramio/photos/small/64036445.jpg
36,,Feature,Union Station,Los Angeles,California,-118.236406898,34.0560576663,11,http://mw2.google.com/mw-panoramio/photos/small/34589759.jpg
37,,Feature,Los Angeles City Hall,Los Angeles,California,-118.242996695,34.0536782167,12,http://mw2.google.com/mw-panoramio/photos/small/79860501.jpg
38,,Feature,Rodeo Drive,Los Angeles,California,-118.401526534,34.0678186728,13,http://mw2.google.com/mw-panoramio/photos/small/33038461.jpg
39,,Feature,Universal Studios,Los Angeles,California,-118.355816901,34.1366207415,14,http://mw2.google.com/mw-panoramio/photos/small/36650938.jpg
40,,Feature,Manhattan Beach,Los Angeles,California,-118.412789813,33.8840441621,15,http://mw2.google.com/mw-panoramio/photos/small/52890106.jpg
41,25 min to 1 hr,Feature,Under the Pier,Los Angeles,California,-118.498006003,34.0086362927,16,http://mw2.google.com/mw-panoramio/photos/small/11410472.jpg
42,3 hours,Feature,LACMA,Los Angeles,California,-118.359395153,34.0632105172,17,http://mw2.google.com/mw-panoramio/photos/small/47586841.jpg
43,45 min to 2 hr,Feature,Queen Mary,Los Angeles,California,-118.190307407,33.7529921186,18,http://mw2.google.com/mw-panoramio/photos/small/18998758.jpg
44,,Feature,Hollywood Bowl,Los Angeles,California,-118.339094893,34.1121532406,19,http://mw2.google.com/mw-panoramio/photos/small/24108333.jpg
45,,Feature,Hollywood Sign,Los Angeles,California,-118.300562258,34.1189954535,20,http://mw2.google.com/mw-panoramio/photos/small/65480723.jpg
46,2 hours,Feature,Bradbury Building,Los Angeles,California,-118.247975178,34.0506782595,21,http://mw2.google.com/mw-panoramio/photos/small/13190170.jpg
47,30 min,Feature,The Bean,Chicago,Illinois,-87.6233008207,41.8827218323,1,http://mw2.google.com/mw-panoramio/photos/small/38487679.jpg
48,,Feature,Navy Pier,Chicago,Illinois,-87.6078915068,41.8914766468,2,http://mw2.google.com/mw-panoramio/photos/small/13520455.jpg
49,,Feature,Sears Tower,Chicago,Illinois,-87.6360413208,41.8788817675,3,http://mw2.google.com/mw-panoramio/photos/small/21827913.jpg
50,,Feature,John Hancock Center,Chicago,Illinois,-87.6233876252,41.8987857332,4,http://mw2.google.com/mw-panoramio/photos/small/755445.jpg
51,,Feature,Chicago River,Chicago,Illinois,-87.6258126706,41.8882907241,5,http://mw2.google.com/mw-panoramio/photos/small/92931645.jpg
52,,Feature,Chicago,Chicago,Illinois,-87.6236431662,41.8980859159,6,http://mw2.google.com/mw-panoramio/photos/small/15065325.jpg
53,,Feature,Wrigley Field,Chicago,Illinois,-87.6560719557,41.9477401113,7,http://mw2.google.com/mw-panoramio/photos/small/37890723.jpg
54,45 min,Feature,Millennium Park,Chicago,Illinois,-87.6233407515,41.8827206615,8,http://mw2.google.com/mw-panoramio/photos/small/21738142.jpg
55,15 min,Feature,Crown Fountain,Chicago,Illinois,-87.6237431285,41.8814937409,9,http://mw2.google.com/mw-panoramio/photos/small/77799921.jpg
56,2.5 hours,Feature,Art Institute of Chicago,Chicago,Illinois,-87.6239077083,41.8795776443,10,http://mw2.google.com/mw-panoramio/photos/small/19997255.jpg
57,,Feature,Chicago Theatre,Chicago,Illinois,-87.6278443802,41.885278766,11,http://mw2.google.com/mw-panoramio/photos/small/72032092.jpg
58,,Feature,Trump Tower,Chicago,Illinois,-87.62644952,41.8888651054,12,http://mw2.google.com/mw-panoramio/photos/small/5558960.jpg
59,,Feature,Marina City,Chicago,Illinois,-87.6285657894,41.8879048662,13,http://mw2.google.com/mw-panoramio/photos/small/82246925.jpg
60,,Feature,Jay Pritzker Pavilion,Chicago,Illinois,-87.6218873858,41.8831254435,14,http://mw2.google.com/mw-panoramio/photos/small/52543579.jpg
61,,Feature,Buckingham Fountain,Chicago,Illinois,-87.6184990103,41.8754968871,15,http://mw2.google.com/mw-panoramio/photos/small/97958549.jpg
62,,Feature,Union Station,Chicago,Illinois,-87.6398578311,41.8786688732,16,http://mw2.google.com/mw-panoramio/photos/small/42149675.jpg
63,45 min to 2 hr,Feature,Water Tower,Chicago,Illinois,-87.6244461733,41.8971642509,17,http://mw2.google.com/mw-panoramio/photos/small/42974482.jpg
64,,Feature,Michigan Avenue Bridge,Chicago,Illinois,-87.6242917076,41.8889241289,18,http://mw2.google.com/mw-panoramio/photos/small/28217032.jpg
65,,Feature,Wrigley Building,Chicago,Illinois,-87.6244612567,41.8896181829,19,http://mw2.google.com/mw-panoramio/photos/small/57705738.jpg
66,3 hours,Feature,Field Museum,Chicago,Illinois,-87.6170278938,41.8662916445,20,http://mw2.google.com/mw-panoramio/photos/small/53542084.jpg
67,1.5 hours,Feature,Adler Planetarium,Chicago,Illinois,-87.6071671121,41.8666158694,21,http://mw2.google.com/mw-panoramio/photos/small/43238331.jpg
68,,Feature,Minute Maid Park,Houston,Texas,-95.3554304147,29.7568884463,1,http://mw2.google.com/mw-panoramio/photos/small/29517702.jpg
69,2.5 hours,Feature,Houston Zoo,Houston,Texas,-95.3910608385,29.714666748,2,http://mw2.google.com/mw-panoramio/photos/small/68070141.jpg
70,1.5 hours,Feature,San Jacinto Monument,Houston,Texas,-95.0807925918,29.7498555763,3,http://mw2.google.com/mw-panoramio/photos/small/101487299.jpg
71,2.5 hours,Feature,Discovery Green,Houston,Texas,-95.3594825524,29.7532954763,4,http://mw2.google.com/mw-panoramio/photos/small/57812628.jpg
72,2 hours,Feature,Hermann Park,Houston,Texas,-95.3909810243,29.7211919171,5,http://mw2.google.com/mw-panoramio/photos/small/65461276.jpg
73,2.5 hours,Feature,Kemah Boardwalk,Houston,Texas,-95.0180128847,29.5477205049,6,http://mw2.google.com/mw-panoramio/photos/small/539528.jpg
74,,Feature,Kemah,Houston,Texas,-95.0183002636,29.5475798391,7,http://mw2.google.com/mw-panoramio/photos/small/22969286.jpg
75,,Feature,Saturn V,Houston,Texas,-95.0943771822,29.5539950492,8,http://mw2.google.com/mw-panoramio/photos/small/66505213.jpg
76,,Feature,Rice University,Houston,Texas,-95.3986294871,29.7190719621,9,http://mw2.google.com/mw-panoramio/photos/small/11522285.jpg
77,2.5 hours,Feature,Downtown Aquarium,Houston,Texas,-95.3674009086,29.764131676,10,http://mw2.google.com/mw-panoramio/photos/small/10435022.jpg
78,1 hour,Feature,Rothko Chapel,Houston,Texas,-95.3961768307,29.7373981301,11,http://mw2.google.com/mw-panoramio/photos/small/55997008.jpg
79,1 hour,Feature,Battleship Texas,Houston,Texas,-95.0892655653,29.7556887986,12,http://mw2.google.com/mw-panoramio/photos/small/18410612.jpg
80,,Feature,Williams Tower,Houston,Texas,-95.4612611111,29.7371131878,13,http://mw2.google.com/mw-panoramio/photos/small/7249172.jpg
81,,Feature,Main Street,Houston,Texas,-95.3634556667,29.7589822278,14,http://mw2.google.com/mw-panoramio/photos/small/7956449.jpg
82,,Feature,Sam Houston,Houston,Texas,-95.3909818958,29.72162725,15,http://mw2.google.com/mw-panoramio/photos/small/29403153.jpg
83,,Feature,Reliant Stadium,Houston,Texas,-95.4110825507,29.6848605817,16,http://mw2.google.com/mw-panoramio/photos/small/33917891.jpg
84,,Feature,Toyota Center,Houston,Texas,-95.3623602427,29.7513126703,17,http://mw2.google.com/mw-panoramio/photos/small/3214261.jpg
85,,Feature,Johnson Space Center,Houston,Texas,-95.0951903283,29.5529270634,18,http://mw2.google.com/mw-panoramio/photos/small/91824300.jpg
86,,Feature,George R. Brown Convention Center,Houston,Texas,-95.3582536754,29.7529667164,19,http://mw2.google.com/mw-panoramio/photos/small/6894500.jpg
87,45 min,Feature,The Galleria,Houston,Texas,-95.4627437836,29.7390868099,20,http://mw2.google.com/mw-panoramio/photos/small/99092858.jpg
88,45 min,Feature,Waterwall,Houston,Texas,-95.4612988148,29.7358417037,21,http://mw2.google.com/mw-panoramio/photos/small/1197339.jpg
89,,Feature,City Hall,Philadelphia,Pennsylvania,-75.1638787943,39.9529928756,1,http://mw2.google.com/mw-panoramio/photos/small/15446665.jpg
90,,Feature,Independence Hall,Philadelphia,Pennsylvania,-75.1500717085,39.948857784,2,http://mw2.google.com/mw-panoramio/photos/small/97376977.jpg
91,1 hour,Feature,Liberty Bell,Philadelphia,Pennsylvania,-75.1502921398,39.9495531531,3,http://mw2.google.com/mw-panoramio/photos/small/70358128.jpg
92,,Feature,Ben Franklin Bridge,Philadelphia,Pennsylvania,-75.139117885,39.9533388817,4,http://mw2.google.com/mw-panoramio/photos/small/5599702.jpg
93,,Feature,Philadelphia,Philadelphia,Pennsylvania,-75.1816809145,39.9556100549,5,http://mw2.google.com/mw-panoramio/photos/small/28592698.jpg
94,2 hours,Feature,Eastern State Penitentiary,Philadelphia,Pennsylvania,-75.1726446216,39.9683505829,6,http://mw2.google.com/mw-panoramio/photos/small/14988581.jpg
95,,Feature,Penn's Landing,Philadelphia,Pennsylvania,-75.1404115734,39.9457931965,7,http://mw2.google.com/mw-panoramio/photos/small/7931920.jpg
96,,Feature,Love Park,Philadelphia,Pennsylvania,-75.1656122778,39.9542087435,8,http://mw2.google.com/mw-panoramio/photos/small/35749470.jpg
97,,Feature,30th Street Station,Philadelphia,Pennsylvania,-75.1819880474,39.955728975,9,http://mw2.google.com/mw-panoramio/photos/small/63035052.jpg
98,,Feature,Boathouse Row,Philadelphia,Pennsylvania,-75.1851141757,39.967788111,10,http://mw2.google.com/mw-panoramio/photos/small/61781587.jpg
99,15-45 min,Feature,Geno's Steaks,Philadelphia,Pennsylvania,-75.1589949687,39.9336610465,11,http://mw2.google.com/mw-panoramio/photos/small/88902096.jpg
100,,Feature,Art Museum,Philadelphia,Pennsylvania,-75.1803872874,39.9651803686,12,http://mw2.google.com/mw-panoramio/photos/small/87824868.jpg
101,,Feature,LOVE,Philadelphia,Pennsylvania,-75.1655435444,39.9541648735,13,http://mw2.google.com/mw-panoramio/photos/small/60247026.jpg
102,2.5 hours,Feature,Philadelphia Museum of Art,Philadelphia,Pennsylvania,-75.1806062527,39.965352741,14,http://mw2.google.com/mw-panoramio/photos/small/58914644.jpg
103,3.5 hours,Feature,Franklin Institute,Philadelphia,Pennsylvania,-75.1727294681,39.9582290592,15,http://mw2.google.com/mw-panoramio/photos/small/67667301.jpg
104,,Feature,Citizens Bank Park,Philadelphia,Pennsylvania,-75.1672147978,39.9054143552,16,http://mw2.google.com/mw-panoramio/photos/small/37218214.jpg
105,20 min to 1 hr,Feature,Reading Terminal Market,Philadelphia,Pennsylvania,-75.159315297,39.9532906978,17,http://mw2.google.com/mw-panoramio/photos/small/22767583.jpg
106,1 hour,Feature,Rocky Statue,Philadelphia,Pennsylvania,-75.1793231031,39.9651740103,18,http://mw2.google.com/mw-panoramio/photos/small/82465722.jpg
107,,Feature,Elfreth's Alley,Philadelphia,Pennsylvania,-75.1424777522,39.9527829418,19,http://mw2.google.com/mw-panoramio/photos/small/83210889.jpg
108,,Feature,Chinatown,Philadelphia,Pennsylvania,-75.1562971606,39.9535958282,20,http://mw2.google.com/mw-panoramio/photos/small/2173227.jpg
109,,Feature,Comcast Center,Philadelphia,Pennsylvania,-75.1685069583,39.9544178259,21,http://mw2.google.com/mw-panoramio/photos/small/33289994.jpg
110,3 hours,Feature,Desert Botanical Garden,Phoenix,Arizona,-111.944728653,33.4608132274,1,http://mw2.google.com/mw-panoramio/photos/small/102505727.jpg
111,,Feature,Chase Field,Phoenix,Arizona,-112.066717968,33.4453030757,2,http://mw2.google.com/mw-panoramio/photos/small/14771624.jpg
112,,Feature,Tempe Town Lake,Phoenix,Arizona,-111.942255243,33.4322219341,3,http://mw2.google.com/mw-panoramio/photos/small/72244908.jpg
113,1.5 hours,Feature,Papago Park,Phoenix,Arizona,-111.945928934,33.455235766,4,http://mw2.google.com/mw-panoramio/photos/small/5845761.jpg
114,,Feature,Hotel San Carlos,Phoenix,Arizona,-112.073909542,33.4504725418,5,http://mw2.google.com/mw-panoramio/photos/small/17053092.jpg
115,,Feature,ASU,Phoenix,Arizona,-111.935681953,33.4214372498,6,http://mw2.google.com/mw-panoramio/photos/small/20001208.jpg
116,,Feature,Giraffe,Phoenix,Arizona,-111.947411524,33.4510943065,7,https://farm4.staticflickr.com/3527/3226931500_de76ba2673_q.jpg
117,,Feature,Hole in the Rock,Phoenix,Arizona,-111.945362548,33.4563991074,8,http://mw2.google.com/mw-panoramio/photos/small/17407521.jpg
118,2.5 hours,Feature,Phoenix Zoo,Phoenix,Arizona,-111.946680068,33.4501735559,9,http://mw2.google.com/mw-panoramio/photos/small/68049526.jpg
119,,Feature,Sky Harbor,Phoenix,Arizona,-111.997485611,33.4349694222,10,http://mw2.google.com/mw-panoramio/photos/small/52586585.jpg
120,,Feature,St. Mary's Basilica,Phoenix,Arizona,-112.069411334,33.450451763,11,http://mw2.google.com/mw-panoramio/photos/small/52740412.jpg
121,2 hours,Feature,Rosson House,Phoenix,Arizona,-112.06606574,33.4502324271,12,http://mw2.google.com/mw-panoramio/photos/small/54160161.jpg
122,,Feature,Cactus Wren,Phoenix,Arizona,-111.945333,33.460865252,13,https://farm6.staticflickr.com/5088/5301405492_6510f4eed6_q.jpg
123,,Feature,The Phoenician,Phoenix,Arizona,-111.950389289,33.504857745,14,http://mw2.google.com/mw-panoramio/photos/small/11208905.jpg
124,,Feature,Mill Avenue Bridge,Phoenix,Arizona,-111.940570143,33.4320424287,15,http://mw2.google.com/mw-panoramio/photos/small/62555421.jpg
125,,Feature,Hummingbird,Phoenix,Arizona,-111.946492877,33.4607823534,16,http://mw2.google.com/mw-panoramio/photos/small/74917431.jpg
126,,Feature,Sun Devil Stadium,Phoenix,Arizona,-111.933233631,33.4253250901,17,http://mw2.google.com/mw-panoramio/photos/small/23407024.jpg
127,45 min,Feature,Arizona Falls,Phoenix,Arizona,-111.958976798,33.4897945775,18,http://mw2.google.com/mw-panoramio/photos/small/29262333.jpg
128,,Feature,Westward Ho,Phoenix,Arizona,-112.07392425,33.4545866082,19,http://mw2.google.com/mw-panoramio/photos/small/24248472.jpg
129,,Feature,Arizona Biltmore,Phoenix,Arizona,-112.023045716,33.5232835117,20,http://mw2.google.com/mw-panoramio/photos/small/59261788.jpg
130,,Feature,Gambel's Quail,Phoenix,Arizona,-111.944932393,33.4606706097,21,https://farm4.staticflickr.com/3734/10595098983_d5433ef167_q.jpg
131,,Feature,The Alamo,San Antonio,Texas,-98.486313063,29.4257604715,1,http://mw2.google.com/mw-panoramio/photos/small/83109104.jpg
132,,Feature,San Antonio,San Antonio,Texas,-98.4887109112,29.424463787,2,http://mw2.google.com/mw-panoramio/photos/small/8970836.jpg
133,45 min,Feature,Riverwalk,San Antonio,Texas,-98.4885255734,29.424165733,3,http://mw2.google.com/mw-panoramio/photos/small/93049898.jpg
134,,Feature,Tower of the Americas,San Antonio,Texas,-98.4836197771,29.4190219375,4,http://mw2.google.com/mw-panoramio/photos/small/96809861.jpg
135,,Feature,Mission San Jose,San Antonio,Texas,-98.4796622548,29.3621653521,5,http://mw2.google.com/mw-panoramio/photos/small/108714128.jpg
136,,Feature,Mission Concepcion,San Antonio,Texas,-98.4914040077,29.3908929363,6,http://mw2.google.com/mw-panoramio/photos/small/619589.jpg
137,,Feature,Emily Morgan Hotel,San Antonio,Texas,-98.48613199,29.4265052901,7,http://mw2.google.com/mw-panoramio/photos/small/65322322.jpg
138,,Feature,San Fernando Cathedral,San Antonio,Texas,-98.4937759188,29.4245453701,8,http://mw2.google.com/mw-panoramio/photos/small/23546947.jpg
139,,Feature,Torch of Friendship,San Antonio,Texas,-98.4875586429,29.4235379525,9,http://mw2.google.com/mw-panoramio/photos/small/20675790.jpg
140,,Feature,Tower Life Building,San Antonio,Texas,-98.4914451458,29.4230502239,10,http://mw2.google.com/mw-panoramio/photos/small/16256438.jpg
141,,Feature,Mission San Juan,San Antonio,Texas,-98.4553127882,29.3326536045,11,http://mw2.google.com/mw-panoramio/photos/small/41738093.jpg
142,1-2 hours,Feature,Mi Tierra,San Antonio,Texas,-98.4996893065,29.4250944749,12,http://mw2.google.com/mw-panoramio/photos/small/2099023.jpg
143,,Feature,Sea World,San Antonio,Texas,-98.70002313,29.4543337953,13,http://mw2.google.com/mw-panoramio/photos/small/22511013.jpg
144,,Feature,Mission Espada,San Antonio,Texas,-98.4509954873,29.3182120196,14,http://mw2.google.com/mw-panoramio/photos/small/1548306.jpg
145,,Feature,Casa Rio,San Antonio,Texas,-98.48800168,29.4236758002,15,http://mw2.google.com/mw-panoramio/photos/small/103654494.jpg
146,20 min to 1.5 hr,Feature,Pearl Brewery,San Antonio,Texas,-98.480311684,29.443109821,16,http://mw2.google.com/mw-panoramio/photos/small/51504916.jpg
147,,Feature,Alamo Plaza,San Antonio,Texas,-98.4864696842,29.4257491303,17,http://mw2.google.com/mw-panoramio/photos/small/48941214.jpg
148,,Feature,Bexar County Courthouse,San Antonio,Texas,-98.4935414783,29.4239478987,18,http://mw2.google.com/mw-panoramio/photos/small/56882080.jpg
149,,Feature,River,San Antonio,Texas,-98.4889397391,29.4238040886,19,http://mw2.google.com/mw-panoramio/photos/small/51682740.jpg
150,,Feature,Alamodome,San Antonio,Texas,-98.4790137273,29.4168185917,20,http://mw2.google.com/mw-panoramio/photos/small/17153097.jpg
151,,Feature,Market Square,San Antonio,Texas,-98.4993251667,29.425241588,21,http://mw2.google.com/mw-panoramio/photos/small/7762086.jpg
152,2 hours,Feature,Balboa Park,San Diego,California,-117.149728475,32.7315550071,1,http://mw2.google.com/mw-panoramio/photos/small/101657820.jpg
153,,Feature,La Jolla,San Diego,California,-117.278276206,32.8463650161,2,http://mw2.google.com/mw-panoramio/photos/small/11756032.jpg
154,,Feature,Hotel del Coronado,San Diego,California,-117.178595669,32.6802419866,3,http://mw2.google.com/mw-panoramio/photos/small/71155401.jpg
155,,Feature,Sea World,San Diego,California,-117.226969678,32.7653643289,4,http://mw2.google.com/mw-panoramio/photos/small/75217350.jpg
156,,Feature,San Diego,San Diego,California,-117.170680081,32.6994400994,5,http://mw2.google.com/mw-panoramio/photos/small/75684954.jpg
157,,Feature,San Diego Zoo,San Diego,California,-117.149702137,32.7352824821,6,http://mw2.google.com/mw-panoramio/photos/small/75652220.jpg
158,,Feature,Old Town,San Diego,California,-117.196580426,32.7541632479,7,http://mw2.google.com/mw-panoramio/photos/small/104941168.jpg
159,,Feature,USS Midway,San Diego,California,-117.175094486,32.7138216483,8,http://mw2.google.com/mw-panoramio/photos/small/53147000.jpg
160,,Feature,Petco Park,San Diego,California,-117.156937768,32.7071088808,9,http://mw2.google.com/mw-panoramio/photos/small/10043431.jpg
161,1.5 hours,Feature,Seaport Village,San Diego,California,-117.171186,32.708964878,10,http://mw2.google.com/mw-panoramio/photos/small/75272858.jpg
162,,Feature,La Jolla Cove,San Diego,California,-117.272994335,32.8506648739,11,http://mw2.google.com/mw-panoramio/photos/small/7604993.jpg
163,,Feature,Panda,San Diego,California,-117.150898325,32.7353146054,12,http://mw2.google.com/mw-panoramio/photos/small/16379442.jpg
164,2 hours,Feature,Museum of Man,San Diego,California,-117.152356629,32.7316054627,13,http://mw2.google.com/mw-panoramio/photos/small/12291091.jpg
165,,Feature,Pacific Beach,San Diego,California,-117.25753867,32.7960079107,14,http://mw2.google.com/mw-panoramio/photos/small/28975253.jpg
166,,Feature,Point Loma Lighthouse,San Diego,California,-117.240869931,32.6719917356,15,http://mw2.google.com/mw-panoramio/photos/small/108403651.jpg
167,,Feature,Star of India,San Diego,California,-117.173469809,32.7202294728,16,http://mw2.google.com/mw-panoramio/photos/small/1958396.jpg
168,,Feature,Mount Soledad,San Diego,California,-117.244704584,32.8398369181,17,http://mw2.google.com/mw-panoramio/photos/small/40536652.jpg
169,,Feature,Coronado Beach,San Diego,California,-117.179681391,32.6794961326,18,http://mw2.google.com/mw-panoramio/photos/small/66459588.jpg
170,,Feature,Comic-Con,San Diego,California,-117.161231446,32.7063299937,19,http://mw2.google.com/mw-panoramio/photos/small/75498727.jpg
171,,Feature,San Diego Convention Center,San Diego,California,-117.161379633,32.706673439,20,http://mw2.google.com/mw-panoramio/photos/small/19252121.jpg
172,,Feature,Flamingos,San Diego,California,-117.149417253,32.7354591074,21,http://mw2.google.com/mw-panoramio/photos/small/39023643.jpg
173,2.5 hours,Feature,Dallas Arboretum,Dallas,Texas,-96.7176336337,32.8227485161,1,http://mw2.google.com/mw-panoramio/photos/small/39794754.jpg
174,45 min,Feature,The Grassy Knoll,Dallas,Texas,-96.8088173621,32.7791095579,2,http://mw2.google.com/mw-panoramio/photos/small/5037213.jpg
175,,Feature,Texas School Book Depository,Dallas,Texas,-96.8083048839,32.7796033752,3,http://mw2.google.com/mw-panoramio/photos/small/84784809.jpg
176,10-45 min,Feature,JFK Memorial,Dallas,Texas,-96.8064850839,32.7787923878,4,http://mw2.google.com/mw-panoramio/photos/small/8419708.jpg
177,45 min,Feature,Dealey Plaza,Dallas,Texas,-96.8087302485,32.7790959516,5,http://mw2.google.com/mw-panoramio/photos/small/21097834.jpg
178,,Feature,Margaret Hunt Hill Bridge,Dallas,Texas,-96.8228600312,32.7795580779,6,http://mw2.google.com/mw-panoramio/photos/small/66074176.jpg
179,2 hours,Feature,Dallas Museum of Art,Dallas,Texas,-96.8007285646,32.7875908991,7,http://mw2.google.com/mw-panoramio/photos/small/29040981.jpg
180,3 hours,Feature,Dallas Zoo,Dallas,Texas,-96.8152123785,32.740062977,8,http://mw2.google.com/mw-panoramio/photos/small/93834668.jpg
181,3.5 hours,Feature,Perot Museum,Dallas,Texas,-96.8064611657,32.7866994052,9,http://mw2.google.com/mw-panoramio/photos/small/86521920.jpg
182,,Feature,Dallas,Dallas,Texas,-96.8294895677,32.8018916402,10,http://mw2.google.com/mw-panoramio/photos/small/44228833.jpg
183,,Feature,American Airlines Center,Dallas,Texas,-96.8104462545,32.7904406845,11,http://mw2.google.com/mw-panoramio/photos/small/29041209.jpg
184,,Feature,Mustangs,Dallas,Texas,-96.9387699702,32.8705601548,12,http://mw2.google.com/mw-panoramio/photos/small/41432320.jpg
185,,Feature,Deep Ellum,Dallas,Texas,-96.7838890606,32.7841320406,13,http://mw2.google.com/mw-panoramio/photos/small/25129020.jpg
186,,Feature,Fountain Place,Dallas,Texas,-96.8025538333,32.7846779756,14,http://mw2.google.com/mw-panoramio/photos/small/29040888.jpg
187,,Feature,SMU,Dallas,Texas,-96.7833467221,32.8410152654,15,http://mw2.google.com/mw-panoramio/photos/small/70648538.jpg
188,1.5 hours,Feature,Klyde Warren Park,Dallas,Texas,-96.8021438067,32.7889423738,16,http://mw2.google.com/mw-panoramio/photos/small/101407367.jpg
189,,Feature,Big Tex,Dallas,Texas,-96.7623033333,32.7797901458,17,http://mw2.google.com/mw-panoramio/photos/small/16074637.jpg
